date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:12	32115/32115	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2013:36:11%20GMT	https://www.learnjavaonline.org/	C:/My%20Web%20Sites/website/www.learnjavaonline.org/index.html	(from )
18:36:12	42/42	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2013:36:11%20GMT	https://www.learnjavaonline.org/robots.txt		(from )
18:36:12	8647/8647	---M--	200	added ('OK')	image/png	etag:%221721476624.1608152-8647-2563774072%22	https://www.learnjavaonline.org/static/img/share-logos/learnjavaonline.org.png	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/img/share-logos/learnjavaonline.org.png	(from https://www.learnjavaonline.org/)
18:36:13	34494/34494	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221721476624.1408153-34494-1510151523%22	https://www.learnjavaonline.org/static/img/favicons/learnjavaonline.org.ico	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/img/favicons/learnjavaonline.org.ico	(from https://www.learnjavaonline.org/)
18:36:14	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1208153-144877-1116147606%22	https://www.learnjavaonline.org/static/css/bootstrap.min.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/bootstrap.min.css	(from https://www.learnjavaonline.org/)
18:36:14	6018/6018	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1208153-6018-342494844%22	https://www.learnjavaonline.org/static/css/codemirror.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/codemirror.css	(from https://www.learnjavaonline.org/)
18:36:15	2297/2297	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1248152-2297-3018789347%22	https://www.learnjavaonline.org/static/css/theme/xq-light-media.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/theme/xq-light-media.css	(from https://www.learnjavaonline.org/)
18:36:15	2370/2370	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1248152-2370-2700415341%22	https://www.learnjavaonline.org/static/css/theme/xq-dark-media.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/theme/xq-dark-media.css	(from https://www.learnjavaonline.org/)
18:36:15	5034/5034	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1208153-5034-574557878%22	https://www.learnjavaonline.org/static/css/prism-light.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/prism-light.css	(from https://www.learnjavaonline.org/)
18:36:16	5003/5003	---MCZ	200	added ('OK')	text/css	etag:W/%221721476624.1208153-5003-319360576%22	https://www.learnjavaonline.org/static/css/prism-dark.css	C:/My%20Web%20Sites/website/www.learnjavaonline.org/static/css/prism-dark.css	(from https://www.learnjavaonline.org/)
